site,sitescore,state,county,city,street,zip,lat,lon,state_fips,county_fips,tracts,tract_fips,status_epa,states_plaintalk,status_binary,cercla1990,cercla2000,cercla2010,cercla2020
"Redwing Carriers, Inc. (Saraland)",30.83,Alabama,Mobile,Saraland,Craig Dr,36571,30.808331,-88.073061,1,1097,5400,1097005400,Deleted NPL Site,Completed,1,0,0,1,1
Stauffer Chemical Co. (LeMoyne Plant),32.34,Alabama,Mobile,Axis,US 43,36560,30.969439,-88.0175,1,1097,5702,1097005702,NPL Site,In Process,0,0,0,0,0
Triana/Tennessee River,61.42,Alabama,"Limestone, Madison, Morgan","Limestone, Morgan",Signal Point Dr,35754,34.508888,-86.638194,1,1103,5704,1103005704,NPL Site,In Process,0,0,0,0,0
Stauffer Chemical Co. (Cold Creek Plant),46.77,Alabama,Mobile,Bucks,US 43,36560,30.975,-88.021389,1,1097,5800,1097005800,NPL Site,In Process,0,0,0,0,0
T.H. Agriculture & Nutrition Co. (Montgomery Plant),44.46,Alabama,Montgomery,Montgomery,Birmingham Hwy,36108,32.3761,-86.3791,1,1101,6000,1101006000,NPL Site,In Process,0,0,0,0,0
Perdido Ground Water Contamination,30.29,Alabama,Baldwin,Perdido,Lottie Rd,36562,31.0125,-87.625,1,1003,10200,1003010200,Deleted NPL Site,Completed,1,0,0,1,1
Redstone Arsenal (USARMY/NASA),50,Alabama,Madison,Huntsville,Rideout Rd,35806,34.646944,-86.673055,1,1089,11100,1089011100,NPL Site,In Process,0,0,0,0,0
Alabama Army Ammunition Plant,36.83,Alabama,Talladega,Childersburg,Plant Rd,35014,33.3381,-86.3268,1,1121,11200,1121011200,NPL Site,In Process,0,0,0,0,0
Interstate Lead Co. (ILCO),42.86,Alabama,Jefferson,Leeds,Dug Hollow Rd,35126,33.688889,-86.633333,1,1073,11205,1073011205,NPL Site,In Process,0,0,0,0,0
"Alabama Plating Company, Inc.",30.2,Alabama,Shelby,Vincent,Hwy 231,35178,33.399722,-86.405,1,1117,30102,1117030102,NPL Site,In Process,0,0,0,0,0
American Brass,55.61,Alabama,Henry,Headland,State Rte 134,36345,31.325,-85.404167,1,1067,30500,1067030500,NPL Site,In Process,0,0,0,0,0
Ciba-Geigy Corp. (McIntosh Plant),53.42,Alabama,Washington,McIntosh,Nichols Rd,36553,31.279,-87.9955,1,1129,44200,1129044200,NPL Site,In Process,0,0,0,0,0
Olin Corp. (McIntosh Plant),39.71,Alabama,Washington,McIntosh,Patton Rd,36553,31.263889,-87.99445,1,1129,44200,1129044200,NPL Site,In Process,0,0,0,0,0
Mowbray Engineering Co.,53.67,Alabama,Butler,Greenville,Beeland St,36037,31.831669,-86.61305,1,1013,953200,1013953200,Deleted NPL Site,Completed,1,1,1,1,1
Anniston Army Depot (Southeast Industrial Area),51.91,Alabama,Calhoun,Anniston,Administrative Ave,36201,33.659439,-85.969439,1,1015,981901,1015981901,NPL Site,In Process,0,0,0,0,0
Salt Chuck Mine,50,Alaska,Outer Ketchikan,Thorne Bay,Tokasaan Rd,99919,55.626442,-132.558853,2,2198,100,2198000100,NPL Site,In Process,0,0,0,0,0
