NHGISCODE,GJOIN1990,GJOIN2000,GJOIN2014,GJOIN2019,GJOIN2022,state,statefip,county,countyfip,tracts,0_10k1990,0_10k2000,0_10k2010,0_10k2020,11_14k1990,11_14k2000,11_14k2010,11_14k2020,15_19k1990,15_19k2000,15_19k2010,15_19k2020,20_24k1990,20_24k2000,20_24k2010,20_24k2020,25_29k1990,25_29k2000,25_29k2010,25_29k2020,30_34k1990,30_34k2000,30_34k2010,30_34k2020,35_39k1990,35_39k2000,35_39k2010,35_39k2020,40_49k1990,40_49k2000,40_49k2010,40_49k2020,50_74k1990,50_74k2000,50_74k2010,50_74k2020,75kover1990,75kover2000,75kover2010,75kover2020
G0600050000100,,G0600050000100,,,,California,6,Amador County,5,100,,126,0,,,253,0,,,158,0,,,188,0,,,232,0,,,167,0,,,235,0,,,300,0,,,528,0,,,476,0,
G0600070000100,G06000700001,,,,,California,6,Butte County,7,100,357,,0,,226,,0,,267,,0,,254,,0,,326,,0,,323,,0,,250,,0,,377,,0,,420,,0,,159,,0,
G0600090000100,G06000900001,,,,,California,6,Calaveras County,9,100,513,,0,,417,,0,,330,,0,,327,,0,,335,,0,,259,,0,,205,,0,,362,,0,,433,,0,,174,,0,
G0600110000100,G06001100001,G0600110000100,G0600110000100,G0600110000100,G0600110000100,California,6,Colusa County,11,100,174,101,150,16,148,104,125,26,167,96,126,37,158,139,149,73,138,93,210,53,111,110,217,66,27,73,117,163,112,172,278,123,142,238,637,304,89,223,1171,832
G0600150000100,G06001500001,,,,,California,6,Del Norte County,15,100,1064,,0,,691,,0,,461,,0,,664,,0,,341,,0,,406,,0,,389,,0,,451,,0,,472,,0,,187,,0,
G0600190000100,G06001900001,G0600190000100,G0600190000100,G0600190000100,G0600190000100,California,6,Fresno County,19,100,364,261,308,158,33,44,388,208,6,24,85,187,12,8,21,11,0,4,50,21,0,0,38,14,0,0,0,42,0,20,51,40,0,0,80,120,0,0,137,153
G0600230000100,G06002300001,G0600230000100,G0600230000100,G0600230000100,G0600230000100,California,6,Humboldt County,23,100,,243,245,253,292,271,572,160,203,277,328,84,200,234,303,223,133,129,215,112,145,88,310,142,46,60,165,175,87,146,345,155,105,174,494,236,14,79,531,482
G0600270000100,G06002700001,G0600270000100,G0600270000100,G0600270000100,G0600270000100,California,6,Inyo County,27,100,664,268,294,179,79,147,136,5,128,82,190,96,162,103,143,124,79,63,108,16,53,44,119,8,56,89,61,121,166,123,243,51,138,250,494,184,63,204,712,423
G0600310000100,G06003100001,G0600310000100,G0600310000100,G0600310000100,G0600310000100,California,6,Kings County,31,100,720,292,342,10,113,55,25,6,123,96,136,27,101,109,47,67,146,78,93,3,94,88,51,33,136,79,64,68,97,65,217,102,131,192,321,193,110,239,972,602
G0600330000100,G06003300001,G0600330000100,G0600330000100,G0600330000100,G0600330000100,California,6,Lake County,33,100,777,316,390,113,80,126,175,65,78,104,257,15,78,106,128,85,39,86,176,18,38,90,222,83,30,83,104,125,109,76,131,29,61,164,519,169,40,154,662,618
