state,statefip,county,countyfip,tract,18under1990,18under2000,18under2010,18under2020,18over1990,18over2000,18over2010,18over2020,housing1990,housing2000,housing2010,housing2020,poptract1990,poptract2000,poptract2010,poptract2020,hl1990,hl2000,hl2010,hl2020,white1990,white2000,white2010,white2020,black1990,black2000,black2010,black2020,aian1990,aian2000,aian2010,aian2020,asian1990,asian2000,asian2010,asian2020,nhpi1990,nhpi2000,nhpi2010,nhpi2020,gqi1990,gqi2000,gqi2010,gqi2020,gqni1990,gqni2000,gqni2010,gqni2020
California,6,Colusa County,11,100,1222.48,1486.95,1600,1543,2577.91,2945.95,3583,3846,1331.02,1470.98,1738,1787,3800.39,4432.91,5183,5389,1728.26,2565.93,3120,3528,2628.25,2615.97,3292,2358,8,10,25,37,45,83,65,71,20,42,41,52,6,18,10,9,0,5,0,0,71.14,0,0,0
California,6,Fresno County,19,100,19,28,16,96,2253,2727,2844,3744,497,495,480,773,2272,2755,2860,3840,1202,1531,1594,2068,718,1002,2099,1180,437,491,474,574,22,29,36,77,45,90,130,60,0,3,2,11,1816,2318,2344,2793,0,21,23,84
California,6,Humboldt County,23,100,913,927,814,852,2927,3340,4087,3900,1974,2053,2103,2213,3840,4267,4901,4752,249,520,693,993,3302,3314,3846,2945,82,113,148,142,205,261,179,231,171,110,151,234,9,9,32,67,0,0,12,21,93,206,763,634
California,6,Inyo County,27,100,662.01,708.03,613,598,2050.07,2104.08,2144,2284,1207.07,1271.07,1324,1327,2712.08,2812.12,2757,2882,166.01,276.03,512,842,2608.08,2567.12,2378,1933,2,5,6,4,33,36,40,68,25,20,48,48,1,0,3,0,0,0,0,0,0,2,8,0
California,6,Kings County,31,100,1063.1,1007.1,965,744,2481.29,2361.59,2492,2172,1180.13,1159.15,1200,1098,3544.39,3368.69,3457,2916,1045.07,1037,1321,1154,2783.33,2533.69,2585,1847,9,22,30,23,7,24,34,21,40.03,44,53,45,1.01,11,1,4,0,0,0,0,0,10,8,0
California,6,Lake County,33,100,730,706,693,692,1898,2090,2428,2592,1153,1530,1697,1721,2628,2796,3121,3284,208,293,479,621,2291,2324,2483,2262,16,26,30,22,235,256,285,331,8,8,23,35,1,2,0,0,46,36,18,5,45,22,17,26
California,6,Modoc County,49,100,1054.48,964,848,787,2853.73,2542,2670,2555,1698.01,1681,1718,1669,3908.21,3506,3518,3342,262.63,386,423,468,3550,3047,3030,2645,47.17,12,20,39,151.82,141,105,122,12.49,32,53,38,11,3,11,7,155.55,80,51,68,9.97,0,0,7
California,6,Plumas County,63,100,1492,1266,1042,1040,3953,4175,4458,4231,2379,2477,2586,2622,5445,5441,5500,5271,257,198,339,414,5062,5001,4846,4448,125,95,144,56,124,110,103,86,44,40,41,43,3,5,6,8,84,95,95,60,0,13,144,34
California,6,Sacramento County,67,100,542,601,684,820,2989,2957,2874,2929,1738,1766,1732,1752,3531,3558,3558,3749,193,242,351,439,3346,3231,3159,2951,16,12,20,35,24,20,13,18,97,98,137,162,2,1,9,11,0,0,0,0,0,0,2,8
California,6,San Benito County,69,100,1471.44,1527.99,1295,1183,3152.71,3592.99,3712,4238,1449.49,1565.99,1698,1784,4624.14,5120.98,5007,5421,1864.67,2272.99,2434,2822,3353.86,3699,3374,2880,21,30,24,33,49.14,97,86,106,72.58,89,86,115,2,2,7,9,0,103,0,0,10,114,46,88
California,6,San Diego County,73,100,592.93,562.23,549,513,2525.02,2471.42,2480,2395,1344.68,1361.87,1397,1295,3117.95,3033.65,3029,2908,205.36,230.85,239,280,2988.51,2857.15,2813,2350,11.26,8.16,26,31,7.14,8.07,15,7,50.3,52.55,76,134,1.05,2,2,3,0,6,0,0,0,0,0,0
